id,name,Manufacturer,expiry_date,quantity,price
1,Niacin 125mg cream,Torrent Pharma,2025-07-03,35,1475.58
2,Topiramate,Wockhardt,2023-12-23,151,849.62
3,Azithromycin 500mg tablet,Wockhardt,2025-03-25,183,1303.27
4,Phenylephrine,Bayer,2026-02-13,0,1520.03
5,Iron,Abbott,2026-02-12,39,438.47
6,Promethazine 100mg suspension,Glenmark,2027-01-10,88,1211.41
7,Metformin,Wockhardt,2024-05-26,96,166.81
8,Levothyroxine,Hetero Labs,2027-01-21,147,392.65
9,Losartan 500mg cream,Dr. Reddy's,2025-08-11,25,766.45
10,Loperamide,Pfizer,2024-10-28,94,716.99
11,Gabapentin 250mcg capsule,Hetero Labs,2024-12-01,136,1460.96
12,Iron,Mankind Pharma,2025-06-18,175,655.32
13,Propranolol,Torrent Pharma,2023-05-12,80,808.32
14,Losartan 1mg gel,Zydus Cadila,2028-08-06,101,1770.52
15,Rivastigmine,Mankind Pharma,2024-07-25,63,1492.53
16,Erythromycin 1mg suspension,Alembic,2027-06-24,92,446.45
17,Vitamin C,Dr. Reddy's,2023-07-12,28,314.15
18,Iron,Sanofi,2023-09-18,98,769.42
19,Orlistat,Wockhardt,2023-02-17,174,1444.24
20,Levetiracetam,Indoco Remedies,2025-12-28,196,1285.51
21,Cetirizine 250mg drop,Cipla,2025-12-14,128,1526.3
22,Ketoconazole,Merck,2026-05-07,163,1020.25
23,Hydrocortisone 250mg tablet,Hetero Labs,2026-08-20,125,48.76
24,Citalopram,Biocon,2025-09-07,14,489.33
25,Sodium Bicarbonate,Dr. Reddy's,2028-06-13,17,1956.19
26,Erythromycin,Lupin,2028-04-30,140,338.6
27,Salicylic Acid,Sanofi,2025-05-17,138,1512.98
28,Valproate 5ml suspension,Galderma,2027-03-10,112,1800.23
29,Cetirizine-D 500mg capsule,Abbott,2023-03-28,150,1112.3
30,Insulin Glargine 100mg tablet,Torrent Pharma,2023-10-04,8,1720.67
31,Atorvastatin,Mankind Pharma,2028-06-11,54,1083.08
32,Azathioprine,Alembic,2028-04-20,62,1571.39
33,Ramipril 100mg suspension,Pfizer,2027-10-01,105,939.38
34,Cyclophosphamide 250mcg capsule,Sun Pharma,2027-07-08,186,685.21
35,Ranitidine 500mg drop,Lupin,2027-09-25,46,564.3
36,Doxycycline,Dr. Reddy's,2027-12-21,140,204.84
37,Donepezil,Cipla,2024-01-18,192,1698.9
38,Folic Acid,Emcure,2025-05-25,102,1805.86
39,Folic Acid 20mg cream,Bayer,2026-03-14,108,1396.22
40,Cyclophosphamide,Wockhardt,2028-06-16,39,387.9
41,Budesonide,Alembic,2023-09-07,191,634.07
42,Glibenclamide,MacLeods,2028-12-15,40,123.19
43,Clotrimazole 250mg capsule,Hetero Labs,2023-10-06,172,1725.02
44,Enalapril 1mg injection,Alembic,2023-06-12,158,173.15
45,Pregabalin,MacLeods,2026-07-19,66,416.48
46,Methotrexate 5ml suspension,Lupin,2026-05-13,117,639.19
47,Ondansetron,Cipla,2028-02-21,159,1996.92
48,Pantoprazole 500mg cream,Lupin,2026-11-30,17,1759.75
49,Escitalopram 10mg cream,Hetero Labs,2028-12-06,2,1339.05
50,Pseudoephedrine 250mcg capsule,Lupin,2025-12-19,27,1780.53
51,Cyclosporine,Mankind Pharma,2026-02-28,154,429.15
52,Alprazolam 250mcg cream,MacLeods,2028-06-24,64,1811.62
53,Glibenclamide 20mg cream,Sun Pharma,2023-01-15,85,1544.53
54,Niacin,Aurobindo Pharma,2027-12-15,141,1414.28
55,Gaviscon 100mg syrup,Wockhardt,2023-05-28,94,1169.19
56,Vitamin D3,Sun Pharma,2026-06-16,93,1798.97
57,Metformin,Zydus Cadila,2025-10-19,170,214.56
58,Metoprolol,Sanofi,2024-09-25,60,1730.57
59,Diclofenac,Cipla,2025-01-04,188,1849.73
60,Ramipril,RPG Life Sciences,2025-10-13,68,326.8
61,Lamotrigine 50mg drop,Torrent Pharma,2025-03-28,117,705.82
62,Metronidazole 250mcg injection,Novartis,2026-09-06,71,1730.06
63,Propranolol 250mcg suspension,Galderma,2026-09-18,7,239.53
64,Cefuroxime 5ml tablet,Glenmark,2027-11-15,88,1459.8
65,Metoclopramide,MacLeods,2024-04-18,98,1800.01
66,Prednisolone 125mg suspension,Cipla,2028-10-30,137,1376.85
67,Tacrolimus,Zydus Cadila,2027-01-31,110,149.25
68,Gabapentin,Hetero Labs,2026-07-09,169,1697.55
69,Azathioprine,MacLeods,2026-06-20,170,822.7
70,Enalapril,Wockhardt,2024-06-05,49,846.69
71,Aspirin,Aurobindo Pharma,2026-05-17,103,1100.4
