bill_id,date,time,product_id,product_name,quantity,unit_price,total_amount
1,2025-07-24,12:27:54,886,Glibenclamide,4,1256.64,5026.56
2,2025-09-08,12:05:54,91,Enalapril,1,1072.91,1072.91
3,2025-07-12,00:05:54,785,Methotrexate,3,533.33,1599.99
4,2025-06-16,07:19:54,225,Tadalafil,4,1665.08,6660.32
5,2025-09-14,21:50:54,999,Azathioprine 100mg injection,2,1880.78,3761.56
6,2025-07-07,02:19:54,635,Niacin,3,1407.17,4221.51
7,2025-06-05,13:34:54,846,Cetirizine 10mg tablet,4,1080.63,4322.52
8,2025-11-18,12:39:54,416,Mupirocin 20mg capsule,5,630.66,3153.3
9,2025-10-30,06:54:54,144,Clopidogrel 1mg syrup,1,1582.11,1582.11
10,2025-08-17,20:20:54,570,Linagliptin,2,335.39,670.78
11,2025-08-06,05:13:54,853,Naproxen 10mg tablet,1,616.81,616.81
12,2025-09-06,15:32:54,93,Vitamin C,5,764.42,3822.1
13,2025-06-17,10:45:54,645,Sitagliptin,5,1687.72,8438.6
14,2025-07-17,09:50:54,520,Montelukast,3,360.44,1081.32
15,2025-10-09,16:38:54,395,Omeprazole 5ml drop,1,273.69,273.69
16,2025-07-14,02:12:54,399,Folic Acid 5ml cream,1,342.74,342.74
17,2025-07-20,03:57:54,764,Topiramate,2,576.37,1152.74
18,2025-07-26,06:34:54,468,Atorvastatin,5,272.65,1363.25
19,2025-06-26,23:57:54,625,Topiramate,1,1290.36,1290.36
20,2025-06-11,05:05:54,730,Montelukast 1mg tablet,4,1231.79,4927.16
21,2025-10-22,02:49:54,917,Loperamide 2mg capsule,3,1377.23,4131.69
22,2025-08-22,04:41:54,1000,Erythromycin 1mg injection,1,291.77,291.77
23,2025-09-17,05:38:54,712,Oxymetazoline,3,343.77,1031.31
24,2025-09-11,02:12:54,830,Calcium 10ml injection,5,192.89,964.45
25,2025-11-06,10:03:54,364,Gabapentin,4,613.34,2453.36
26,2025-08-14,02:18:54,600,Folic Acid,3,456.4,1369.2
27,2025-10-18,02:56:54,839,Ketoconazole,4,278.39,1113.56
28,2025-10-23,21:22:54,427,Sildenafil,5,276.56,1382.8
29,2025-11-06,12:30:54,313,Hydroxychloroquine 500mg gel,2,759.88,1519.76
30,2025-09-12,01:12:54,58,Metoprolol,5,1730.57,8652.85
31,2025-09-04,15:09:54,906,Topiramate,5,280.15,1400.75
32,2025-08-24,14:23:54,39,Folic Acid 20mg cream,1,1396.22,1396.22
33,2025-08-15,19:36:54,995,Ranitidine,3,1771.58,5314.74
34,2025-08-14,11:26:54,666,Fluconazole,5,1368.28,6841.4
35,2025-08-01,22:01:54,155,Fenofibrate,2,189.85,379.7
36,2025-10-08,11:04:54,558,Sitagliptin,4,296.27,1185.08
37,2025-09-14,22:30:54,230,Metformin 10mg drop,4,325.9,1303.6
38,2025-11-18,07:06:54,463,Pantoprazole 100mg suspension,5,1584.24,7921.2
39,2025-09-12,00:33:54,344,Azathioprine 5ml tablet,5,155.33,776.65
40,2025-08-02,09:45:54,9,Losartan 500mg cream,1,766.45,766.45
41,2025-11-28,12:09:54,147,Mupirocin 2mg suspension,3,1961.74,5885.22
42,2025-09-12,19:33:54,372,Neomycin,4,344.78,1379.12
43,2025-10-27,19:05:54,272,Escitalopram 100mg syrup,3,635.63,1906.89
44,2025-08-14,11:17:54,586,Donepezil 10ml injection,4,1578.3,6313.2
45,2025-06-04,19:24:54,699,Promethazine,2,475.7,951.4
46,2025-11-21,13:20:54,703,Montelukast,3,1587.39,4762.17
47,2025-07-25,15:08:54,402,Sildenafil 20mg gel,5,886.04,4430.2
48,2025-08-27,21:34:54,981,Rivastigmine,4,376.68,1506.72
49,2025-07-07,02:31:54,146,Insulin Glargine,3,898.63,2695.89
50,2025-06-20,18:00:54,577,Clotrimazole,4,1371.98,5487.92
51,2025-06-04,13:20:54,360,Lorazepam 500mg cream,3,1830.33,5490.99
52,2025-07-19,21:46:54,63,Propranolol 250mcg suspension,1,239.53,239.53
53,2025-09-23,11:51:54,658,Rivastigmine 1mg injection,5,903.14,4515.7
54,2025-11-14,12:25:54,457,Pantoprazole 10mg capsule,3,1363.17,4089.51
55,2025-08-01,17:45:54,388,Metoclopramide 500mg syrup,2,605.56,1211.12
56,2025-08-29,11:50:54,260,Vitamin C 10mg tablet,1,1584.31,1584.31
57,2025-09-20,05:05:54,75,Hydrocortisone 50mg injection,4,834.74,3338.96
58,2025-06-19,05:15:54,62,Metronidazole 250mcg injection,1,1730.06,1730.06
59,2025-09-15,07:27:54,763,Cefuroxime 2mg cream,5,251.26,1256.3
60,2025-06-18,14:47:54,106,Cyclophosphamide,5,565.07,2825.35
61,2025-10-09,19:58:54,891,Amlodipine,2,1337.32,2674.64
62,2025-11-03,20:58:54,466,Clotrimazole 20mg cream,2,1796.85,3593.7
63,2025-07-12,06:24:54,68,Gabapentin,3,1697.55,5092.65
64,2025-06-06,07:08:54,481,Cefuroxime,3,915.84,2747.52
65,2025-06-05,17:35:54,873,Vildagliptin,3,1752.81,5258.43
66,2025-11-03,23:10:54,224,Multivitamin 10mg cream,5,1019.6,5098.0
67,2025-08-30,12:30:54,149,Lorazepam,1,1586.86,1586.86
68,2025-10-23,23:43:54,910,Calcium 50mg gel,3,1146.25,3438.75
69,2025-08-25,00:51:54,990,Propranolol,4,1564.06,6256.24
70,2025-09-02,11:51:54,813,Domperidone 2mg capsule,1,1748.25,1748.25
71,2025-10-04,12:08:54,442,Erythromycin 125mg cream,5,1971.12,9855.6
72,2025-10-03,10:59:54,406,Warfarin 1mg injection,5,1537.56,7687.8
73,2025-06-23,17:52:54,768,Alprazolam 10ml cream,5,1292.84,6464.2
74,2025-07-14,22:36:54,55,Gaviscon 100mg syrup,1,1169.19,1169.19
75,2025-08-14,01:41:54,981,Rivastigmine,1,376.68,376.68
76,2025-10-30,12:56:54,309,Fenofibrate 10mg cream,1,112.2,112.2
77,2025-07-29,05:31:54,986,Ranitidine 20mg injection,3,1433.65,4300.95
78,2025-06-05,05:02:54,374,Atorvastatin,2,22.7,45.4
